,X,observation,trial,load,stimulus_type,ended_on,url_code,trial_type,trial_seq,color_offset,color_angle_test,color_angle_deviation,color_angle_abs_deviation,stimulus_seq
12335,38625,a79b6,pm,5,ongoing,response,662908787,prom,2,-14.4896805456895,-35.81599944718,17.7459194471801,17.7459194471801,62
12336,38634,a79b6,pm,5,ongoing,response,662908787,prom,3,-94.6049490004689,-99.3819677187509,1.31659771875093,1.31659771875093,63
12337,38643,a79b6,pm,5,prom_spec,response,662908787,prom,4,166.329687069907,141.992592913637,-39.9925929136368,39.9925929136368,64
12338,38652,a79b6,pm,5,ongoing,response,662908787,prom,5,-115.815261849604,-122.308018654382,-30.824581345618,30.824581345618,65
12339,38704,a79b6,pm,5,ongoing,response,662908787,ongoing,1,-103.504592066891,15.0315878077803,-1.99484480778028,1.99484480778028,66
12340,38713,a79b6,pm,5,ongoing,response,662908787,ongoing,2,-76.4149252266281,-177.380187403481,-6.75143059651884,6.75143059651884,67
12341,38722,a79b6,pm,5,ongoing,response,662908787,ongoing,3,-151.617851301059,-61.7276269841326,48.3793709841326,48.3793709841326,68
12342,38731,a79b6,pm,5,ongoing,response,662908787,ongoing,4,-38.6632417817188,-10.8100067658511,-115.313260234149,115.313260234149,69
12343,38740,a79b6,pm,5,ongoing,response,662908787,ongoing,5,82.4653197231617,-138.241848259924,69.2484422599236,69.2484422599236,70
12344,38792,a79b6,pm,5,ongoing,response,662908787,ongoing,1,153.542296943377,-174.423517879878,16.2566678798776,16.2566678798776,71
12345,38801,a79b6,pm,5,ongoing,response,662908787,ongoing,2,165.594136774485,59.7748698642149,-4.62384986421489,4.62384986421489,72
12346,38810,a79b6,pm,5,ongoing,response,662908787,ongoing,3,86.2431426024466,-147.70310517159,35.5684051715898,35.5684051715898,73
12347,38819,a79b6,pm,5,ongoing,response,662908787,ongoing,4,128.905706017204,135.311098272323,-165.289068272323,165.289068272323,74
12348,38828,a79b6,pm,5,ongoing,response,662908787,ongoing,5,65.8928095589015,82.4204364312037,73.5337635687963,73.5337635687963,75
12349,38880,a79b6,pm,5,ongoing,response,662908787,ongoing,1,97.3613060116709,-28.2876234670911,14.260413467091,14.260413467091,76
12350,38889,a79b6,pm,5,ongoing,response,662908787,ongoing,2,134.046861097498,139.245344951293,9.76995504870706,9.76995504870706,77
12351,38898,a79b6,pm,5,ongoing,response,662908787,ongoing,3,53.2556079465642,-89.2883301787663,16.7575301787663,16.7575301787663,78
12352,38907,a79b6,pm,5,ongoing,response,662908787,ongoing,4,-9.90084659933714,-8.99589560115521,12.0766656011552,12.0766656011552,79
12353,38916,a79b6,pm,5,ongoing,response,662908787,ongoing,5,101.292954623683,-145.557408920732,-9.43478107926808,9.43478107926808,80
12354,38968,a79b6,pm,5,ongoing,response,662908787,ongoing,1,-138.334254360892,49.532679934155,2.05320006584498,2.05320006584498,81
12355,38977,a79b6,pm,5,ongoing,response,662908787,ongoing,2,34.4024626516597,99.4552880249823,60.8922419750177,60.8922419750177,82
12356,38986,a79b6,pm,5,ongoing,response,662908787,ongoing,3,-141.000208801264,-24.3288837199266,-6.02109628007338,6.02109628007338,83
12357,38995,a79b6,pm,5,ongoing,response,662908787,ongoing,4,-121.235135366223,-125.615344617046,3.41685461704628,3.41685461704628,84
12358,39004,a79b6,pm,5,ongoing,response,662908787,ongoing,5,-21.735422868706,122.85988409616,163.39095590384,163.39095590384,85
12359,39056,a79b6,pm,5,ongoing,response,662908787,prom,1,-35.4696676062365,-32.0929329229499,19.16040292295,19.16040292295,86
12360,39065,a79b6,pm,5,ongoing,response,662908787,prom,2,116.033097728944,67.6349853592724,-11.0548243592724,11.0548243592724,87
12361,39074,a79b6,pm,5,ongoing,response,662908787,prom,3,-82.2735228692473,39.0234601628563,-26.0852041628563,26.0852041628563,88
12362,39083,a79b6,pm,5,ongoing,response,662908787,prom,4,-99.6342123610598,172.985168517178,13.3963934828218,13.3963934828218,89
12363,39092,a79b6,pm,5,prom_spec,response,662908787,prom,5,22.417246469064,94.6997978964991,7.30020210350085,7.30020210350085,90
12364,39144,a79b6,pm,5,ongoing,response,662908787,ongoing,1,-26.5854393758101,-144.124116136303,7.88303613630319,7.88303613630319,91
12365,39153,a79b6,pm,5,ongoing,response,662908787,ongoing,2,-29.7130504899163,-73.4648819749867,-13.1045280250132,13.1045280250132,92
12366,39162,a79b6,pm,5,ongoing,response,662908787,ongoing,3,-160.517610360216,54.4596546917459,-6.29003469174586,6.29003469174586,93
12367,39171,a79b6,pm,5,ongoing,response,662908787,ongoing,4,-112.392554074725,176.597136827472,-7.10195682747235,7.10195682747235,94
12368,39180,a79b6,pm,5,ongoing,response,662908787,ongoing,5,64.0995375195338,51.9277839528897,-64.5309639528897,64.5309639528897,95
12369,39232,a79b6,pm,5,ongoing,response,662908787,ongoing,1,70.1849709221006,-99.5657207890512,-6.61994921094879,6.61994921094879,96
12370,39241,a79b6,pm,5,ongoing,response,662908787,ongoing,2,-38.9308757541729,44.5088439533118,15.8936960466881,15.8936960466881,97
12371,39250,a79b6,pm,5,ongoing,response,662908787,ongoing,3,-124.251527498809,-174.622785598828,-24.0714444011719,24.0714444011719,98
12372,39259,a79b6,pm,5,ongoing,response,662908787,ongoing,4,152.022498217467,4.45027971885429,-10.0563897188542,10.0563897188542,99
12373,39268,a79b6,pm,5,ongoing,response,662908787,ongoing,5,98.2311398660382,-11.6801771934563,15.1914671934563,15.1914671934563,100
12374,39320,a79b6,pm,5,ongoing,response,662908787,ongoing,1,138.287447912579,-78.1772471853221,-33.8676028146779,33.8676028146779,101
12375,39329,a79b6,pm,5,ongoing,response,662908787,ongoing,2,-103.096737700813,134.277183805798,23.4666061942021,23.4666061942021,102
12376,39338,a79b6,pm,5,ongoing,response,662908787,ongoing,3,-0.717262980974652,31.6083782028643,3.0117617971357,3.0117617971357,103
12377,39347,a79b6,pm,5,ongoing,response,662908787,ongoing,4,136.759461414874,163.964883423583,143.727896576417,143.727896576417,104
12378,39356,a79b6,pm,5,ongoing,response,662908787,ongoing,5,-112.13151314315,33.7571504139653,169.444209586035,169.444209586035,105
12379,39408,a79b6,pm,5,ongoing,response,662908787,prom,1,162.415211971891,-129.311038574641,-22.3121714253592,22.3121714253592,106
12380,39417,a79b6,pm,5,ongoing,response,662908787,prom,2,67.3705626604814,58.4937218685131,-5.91258186851314,5.91258186851314,107
12381,39426,a79b6,pm,5,ongoing,response,662908787,prom,3,119.090413722852,-48.1864148588471,-41.5691951411529,41.5691951411529,108
12382,39435,a79b6,pm,5,ongoing,response,662908787,prom,4,143.33467573983,108.203122630366,58.5896973696335,58.5896973696335,109
12383,39444,a79b6,pm,5,prom_spec,response,662908787,prom,5,-22.2729378097345,125.200514003066,-23.2005140030659,23.2005140030659,110
12384,39496,a79b6,pm,5,ongoing,response,662908787,ongoing,1,-126.307283074783,108.655690939691,61.3430790603086,61.3430790603086,111
12385,39505,a79b6,pm,5,ongoing,response,662908787,ongoing,2,168.546706271324,-62.6232602241845,-42.8262497758154,42.8262497758154,112
12386,39514,a79b6,pm,5,ongoing,response,662908787,ongoing,3,18.9998585341889,-23.1415200845065,41.1747600845065,41.1747600845065,113
12387,39523,a79b6,pm,5,ongoing,response,662908787,ongoing,4,83.6360882084559,6.07333939224463,-31.6057493922447,31.6057493922447,114
12388,39532,a79b6,pm,5,ongoing,response,662908787,ongoing,5,-3.48935789821698,23.8249558984159,-171.801645898416,171.801645898416,115
12389,39584,a79b6,pm,5,ongoing,response,662908787,ongoing,1,-138.624479261545,-102.528268556077,39.9861085560768,39.9861085560768,116
12390,39593,a79b6,pm,5,ongoing,response,662908787,ongoing,2,146.759580269839,31.97998193532,-12.27950193532,12.27950193532,117
12391,39602,a79b6,pm,5,ongoing,response,662908787,ongoing,3,-131.444172136454,-129.324339845496,-2.69160015450393,2.69160015450393,118
12392,39611,a79b6,pm,5,ongoing,response,662908787,ongoing,4,-112.120273475445,-48.517599855953,27.989299855953,27.989299855953,119
12393,39620,a79b6,pm,5,ongoing,response,662908787,ongoing,5,-5.76495380066993,58.4710213252555,2.48919867474456,2.48919867474456,120
12394,39683,a79b6,baseline2,5,ongoing,response,662908787,ongoing,1,66.9373016160323,91.2674761784322,-6.26747617843216,6.26747617843216,86
12395,39692,a79b6,baseline2,5,ongoing,response,662908787,ongoing,2,-17.0136039921737,-114.902591740078,-37.0974082599218,37.0974082599218,87
12396,39701,a79b6,baseline2,5,ongoing,response,662908787,ongoing,3,-30.6931461909436,-3.66634910561959,-8.33365089438041,8.33365089438041,88
12397,39710,a79b6,baseline2,5,ongoing,response,662908787,ongoing,4,-115.082191072058,164.373472444428,-21.3734724444276,21.3734724444276,89
12398,39719,a79b6,baseline2,5,ongoing,response,662908787,ongoing,5,-81.3067359714495,-92.3768440901962,11.3768440901962,11.3768440901962,90
12399,39771,a79b6,baseline2,5,ongoing,response,662908787,ongoing,1,41.2695887995727,87.6413631090201,13.3586368909799,13.3586368909799,91
12400,39780,a79b6,baseline2,5,ongoing,response,662908787,ongoing,2,-92.1455980172294,-56.2968219321548,6.29682193215478,6.29682193215478,92
12401,39789,a79b6,baseline2,5,ongoing,response,662908787,ongoing,3,123.393978920712,-163.756865499084,11.7568654990838,11.7568654990838,93
12402,39798,a79b6,baseline2,5,ongoing,response,662908787,ongoing,4,35.3568856244854,132.454527786705,7.54547221329494,7.54547221329494,94
12403,39807,a79b6,baseline2,5,ongoing,response,662908787,ongoing,5,147.781534351656,-44.3181531378973,-32.6818468621027,32.6818468621027,95
12404,39859,a79b6,baseline2,5,ongoing,response,662908787,ongoing,1,167.811733739126,-60.0236386140716,39.0236386140716,39.0236386140716,96
12405,39868,a79b6,baseline2,5,ongoing,response,662908787,ongoing,2,22.839784960648,-91.6914718466866,-16.3085281533134,16.3085281533134,97
